Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,www.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/http.www.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/http.www.cloudflare.com.txt
https,443,abuse.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.abuse.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.abuse.cloudflare.com.txt
https,443,ai.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.ai.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.ai.cloudflare.com.txt
https,443,blog.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.blog.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.blog.cloudflare.com.txt
https,443,cf-assets.www.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.cf-assets.www.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cf-assets.www.cloudflare.com.txt
https,443,challenges.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.challenges.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.challenges.cloudflare.com.txt
https,443,cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/http.www.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cloudflare.com.txt
https,443,cloudflare.net,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.cloudflare.net.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cloudflare.net.txt
https,443,cloudflare.ondemand.goldcast.io,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.cloudflare.ondemand.goldcast.io.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cloudflare.ondemand.goldcast.io.txt
https,443,cloudflare.registration.goldcast.io,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.cloudflare.ondemand.goldcast.io.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cloudflare.registration.goldcast.io.txt
https,443,cloudflare.tv,Timeout,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.cloudflare.tv.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.cloudflare.tv.txt
https,443,community.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.community.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.community.cloudflare.com.txt
https,443,dash.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.dash.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.dash.cloudflare.com.txt
https,443,developers.cloudflare.com,Successful,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/screens/https.developers.cloudflare.com.png,/home/gumn4m1/cysec/pentest/cloudflare/active/2024-12-14_150314/source/https.developers.cloudflare.com.txt
